action_sequence,anchor_id,condition_label,condition_name,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,evolve_step,ge_audc_f,ge_audc_norm_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_cliff_flag,ge_cliff_lambda,ge_contract_margin_min,ge_cpsc_lambda_star,ge_degradation_rate,ge_evolve_step_e,ge_hard_boundary_hit,ge_hard_gate_pass,ge_hard_lambda_star,ge_margin_drop_f,ge_margin_hard,ge_margin_soft,ge_max_degradation_rate,ge_monotonicity_violations,ge_near_boundary_hit,ge_ratio_pc,ge_ratio_q,ge_ratio_rec,ge_ratio_safe,ge_ratio_stab,ge_stress_lambda,ge_valid_lambda_coverage,instruction,normalized_cbf_penalty_rate,perturbation_intensity,perturbation_seed,perturbation_type,phase_label,proposition_satisfied_fraction,proposition_satisfied_fraction_source,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,safety_collision_rate,safety_score,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,stress_lambda,subexperiment_name,suite_name,task_family,task_percent_complete,task_state_success,total_step_count,unsafe_rate
"agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_1, table_16]|agent1:Rearrange[toy_animal_2, table_16]|agent0:Rearrange[toy_vehicle_1, on, table_16, None, None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Rearrange[toy_animal_2, on, table_16, next_to, toy_vehicle_1]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",125,default,default,1282.0,,1.0,125,0,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.45488403027323465,,0.0,0,1,0,,0.11654454115533674,-0.5613496481539668,-0.45488403027323465,1.6289539690187431,3,0,1.0714285714285714,1.0714285714285714,0.4386503518460332,2.0,0.6515815876074974,0.0,1.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,,0.0,0,clean,clean_reference,0.5,task_percent_complete_fallback,1.0,exact,33.09494651912958,65.44215301320665,,41.99999752941191,,,1.1568626770472934,1.0,1.0,562.6141239201494,1.0,1.0,0.0,1.0,0.0,17.0,6.0,6.0,0,258.0852620601654,,,1280.0,0.7269884057557042,0.75,0.203125,,1,0.40625,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,59.0,0.0009277124772779644,0.0,ge_capacity_validity,expq1,spatial_relation,0.5,0.0,0,
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[plate_0, table_21]|agent1:Wait[None]|agent0:Rearrange[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[plate_1, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[glass_5, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[glass_7, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[fork_10, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[fork_11, on, table_21, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",129,default,default,2855.0,,1.0,129,0,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.45488403027323465,,0.0,0,1,0,,0.11654454115533674,-0.5613496481539668,-0.45488403027323465,1.6289539690187431,3,0,1.0714285714285714,1.0714285714285714,0.4386503518460332,2.0,0.6515815876074974,0.0,1.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",,0.0,0,clean,clean_reference,1.0,task_percent_complete_fallback,1.0,mixed:anchor_terminal_fallback+exact,78.62336159507049,169.61861747341467,,67.41176074048465,,,0.0,1.0,1.0,1336.5972257395601,1.0,1.0,0.0,1.0,0.0,17.0,11.0,11.0,0,1289.7987756729126,,,2854.0,0.7100462060042971,0.8444444444444444,0.2111111111111111,,1,0.4222222222222222,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.0001563549303682521,0.0,ge_capacity_validity,expq1,spatial_relation,1.0,1.0,0,
"agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_3, on, chest_of_drawers_38, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",79,default,default,1588.0,,1.0,79,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,0,368.6553599834442,,,1587.0,0.7187968550483124,0.8452380952380952,0.3863095238095238,,1,0.7726190476190476,0.4,neighborhood_M=5_Pi=1,1.0,0.0,medoid,1,1,0.0,0.00024472150835208595,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, table_14]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",127,default,default,316.0,,1.0,127,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Move the sushi mat from the kitchen counter to the living room table.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,4.8380745304189645,10.999999620689671,,2.9310343816884696,,,0.0,1.0,1.0,140.30416622022452,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,76.60443568229675,,,315.0,0.6362844367552336,0.75,0.19791666666666666,,1,0.3958333333333333,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.03260178864002228,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, chest_of_drawers_37]|agent1:Rearrange[toy_fire_truck_0, chest_of_drawers_37]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_37, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_37, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_37, None, None]|agent0:Done[None]|agent1:Done[None]",78,default,default,1777.0,,1.0,78,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,31.194613258923706,55.34482567776463,,54.758618801426934,,,0.11494252477209685,1.0,1.0,904.6438157034007,1.0,1.0,0.0,1.0,0.0,29.0,7.0,7.0,0,271.7001762390137,,,1774.0,0.5945413618458075,0.5833333333333334,0.14583333333333334,,1,0.2916666666666667,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,30.0,0.010487577877938747,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Rearrange[sushi mat, table_29]|agent1:Rearrange[ramekin, table_29]|agent0:Rearrange[sushi mat, on, table_29, None, None]|agent1:Rearrange[ramekin, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Wait[None]|agent1:Rearrange[spoon_2, on, table_29, None, None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Pick[spoon_2]|agent1:Wait[None]|agent0:Place[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Place[spoon_2, on, table_29, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",60,default,default,1708.0,,1.0,60,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,206.67425739031933,367.2122540281971,,363.11847048759006,,,0.3276836047112902,1.0,4.0,684.3896034673594,4.0,4.0,0.0,4.0,0.0,22.625,16.0,16.0,0,355.5634756088257,,,1703.0,0.7542072451907522,0.6875,0.171875,,1,0.34375,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,52.0,0.005731239449232817,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Rearrange[stuffed_toy, living_room_1]|agent1:Rearrange[toy_pineapple, living_room_1]|agent0:Explore[dining_room_1]|agent1:Explore[living_room_1]|agent0:Rearrange[stuffed_toy_0, chair_32, on, None, None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, chair_33, on, None, None]|agent0:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_pineapple_1, on, chair_33, None, None]|agent0:Done[None]|agent1:Done[None]",81,default,default,854.0,,1.0,81,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,6.142676832953569,0.5517241189060649,,14.862068453032121,,,0.09195401981767747,1.0,1.0,178.13763429833034,1.0,1.0,0.0,1.0,0.0,29.0,8.0,8.0,0,149.33301258087158,,,850.0,0.650351288056206,0.7222222222222222,0.18055555555555555,,1,0.3611111111111111,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,32.0,0.0726940855383873,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[kettle_0, stool_18]|agent1:Rearrange[potato_1, stool_18]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Done[None]|agent1:Done[None]",80,default,default,939.0,,1.0,80,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Move the kettle and potato from the counter to the stool in the kitchen.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,14.621852603237537,26.25919449680938,,25.13793016765758,,,0.011494252477209683,1.0,1.0,424.0337401157412,1.0,1.0,0.0,1.0,0.0,29.0,6.0,6.0,0,130.97957587242126,,,937.0,0.7662011745086039,0.625,0.15625,,1,0.3125,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,1.0,0.0031480276957154274,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Pick[cellphone_0]|agent1:Pick[phone_stand_1]|agent0:Navigate[table_15]|agent1:Navigate[table_15]|agent0:Pick[cellphone_0]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_15]|agent1:Wait[None]|agent0:Place[cellphone_0, on, table_15, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Navigate[table_15]|agent0:Wait[None]|agent1:Pick[phone_stand_1]|agent0:Wait[None]|agent1:Place[phone_stand_1, on, table_15, next_to, cellphone_0]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",126,default,default,1391.0,,1.0,126,0,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.31706634905339415,,0.0,0,1,0,,0.11654454115533674,-0.3484184123925026,-0.31706634905339415,1.6289539690187431,3,0,0.7142857142857143,0.7142857142857143,0.9276347608321832,2.0,0.6515815876074974,0.2,1.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",,0.2,0,irrelevant_perturbation,stress_sweep,0.0,task_percent_complete_fallback,1.0,exact,20.662547164579095,34.94594500146095,,36.99999900000003,,,0.13513513148283426,1.0,3.0,764.5142657519738,3.0,3.0,0.0,3.0,0.0,37.0,15.0,15.0,0,258.1097021102905,,,1387.0,0.7182266217302293,0.8148148148148148,0.4027777777777778,,1,0.8055555555555556,1.0,neighborhood_M=5_Pi=1,1.0,0.0,medoid,1,1,15.0,0.0018952896352857351,0.2,ge_capacity_validity,expq1,spatial_relation,0.0,0.0,0,
"agent0:Navigate[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle, table_16]|agent1:Rearrange[toy_animal, table_16]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_0, on, table_16, None, None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_animal_2, on, table_16, None, None]|agent0:Done[None]|agent1:Done[None]",125,default,default,845.0,,1.0,125,0,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.31706634905339415,,0.0,0,1,0,,0.11654454115533674,-0.3484184123925026,-0.31706634905339415,1.6289539690187431,3,0,0.7142857142857143,0.7142857142857143,0.9276347608321832,2.0,0.6515815876074974,0.2,1.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,9.178857365431025,18.324774279510603,,11.594594281227183,,,0.0,1.0,1.0,339.6177316998053,1.0,1.0,0.0,1.0,0.0,37.0,6.0,6.0,0,151.87762546539307,,,843.0,0.794981494035984,0.75,0.203125,,1,0.40625,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.005302553530782461,0.2,ge_capacity_validity,expq1,spatial_relation,1.0,1.0,0,
agent0:Done[None]|agent1:Done[None],1,default,default,1.0,,0.0,1,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,,0.2,0,irrelevant_perturbation,stress_sweep,0.0,task_percent_complete_fallback,1.0,none,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.6746106147766113,,,0.0,0.4,0.7,0.175,,1,0.35,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.0,0.2,ge_capacity_validity,expq1,placement_only,0.0,0.0,0,
"agent0:Explore[entryway_1]|agent1:Explore[entryway_1]|agent0:Explore[kitchen_1]|agent1:Explore[entryway_1]|agent0:Explore[kitchen_1]|agent1:Explore[bathroom_1]|agent0:Rearrange[squeezer_1, bench_51]|agent1:Rearrange[toy_food_2, bench_51]|agent0:Rearrange[squeezer_1, on, bench_51, None, None]|agent1:Rearrange[toy_food_2, on, bench_51, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_food_2, on, bench_51, None, None]|agent0:Rearrange[cup_0, on, bench_51, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",11,default,default,1361.0,,1.0,11,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,14.66832413380768,16.06896496313914,,20.206895854934626,,,1.49425282203726,1.0,1.0,425.3814145487469,1.0,1.0,0.0,1.0,0.0,29.0,8.0,8.0,0,247.52923846244812,,,1359.0,0.7774522283543606,0.8529411764705882,0.21323529411764705,,1,0.4264705882352941,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,130.0,0.0002749683044385165,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Explore[hallway_1]|agent1:Wait[None]|agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Navigate[bed_45]|agent1:Wait[None]|agent0:Pick[credit_card_0]|agent1:Wait[None]|agent0:Navigate[table_30]|agent1:Wait[None]|agent0:Pick[credit_card_0]|agent1:Wait[None]|agent0:Navigate[bed_45]|agent1:Wait[None]|agent0:Place[credit_card_0, on, table_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",9,default,default,1521.0,,1.0,9,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.09705414569675241,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.09705414569675241,1.8822837208319596,4,1,1.4285714285714286,1.4285714285714286,1.1835870813954077,2.0,1.010521209998097,0.2,1.0,Take the credit card from the hallway to the bedroom and put it on the bedside table.,,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,29.57112270535189,52.75919358301631,,51.82758441973847,,,0.2758620594530323,1.0,3.0,857.5625880263274,3.0,3.0,0.0,3.0,0.0,29.0,12.0,12.0,0,256.52220726013184,,,1519.0,0.7731052769078636,0.625,0.15625,,1,0.3125,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,24.0,0.030751027166843414,0.2,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Wait[None]|agent0:Pick[plate_3]|agent1:Wait[None]|agent0:Place[plate_0, dining_room_1, on]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_3]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_3, on, table_21, next_to, plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_4]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, next_to, plate_0]|agent1:Navigate[kitchen_1]|agent0:Place[glass_4, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, next_to, plate_0]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_10]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_10, on, table_21, next_to, glass_4]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_5]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_5, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_11]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_11, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Place[fork_11, on, table_21, next_to, plate_3]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",129,default,default,2173.0,,1.0,129,0,0.5367465518646957,0.5367465518646957,1,,,1,1,0.4,-0.31706634905339415,,0.0,0,1,0,,0.11654454115533674,-0.3484184123925026,-0.31706634905339415,1.6289539690187431,3,0,0.7142857142857143,0.7142857142857143,0.9276347608321832,2.0,0.6515815876074974,0.2,1.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",,0.2,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,54.79818490407832,101.24785178922713,,93.72399198487524,,,0.0,1.0,16.0,1234.5038564399988,16.0,16.0,0.0,16.0,0.0,22.90625,35.0,35.0,0,963.5187480449677,,,2172.0,0.47343764381040043,0.8444444444444444,0.2111111111111111,,1,0.4222222222222222,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.0033334505278617144,0.2,ge_capacity_validity,expq1,spatial_relation,1.0,1.0,0,
"agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_37, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",79,default,default,2176.0,,1.0,79,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.21954631928476287,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.21954631928476287,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,1.444897088110031,2.0,1.010521209998097,0.4,1.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,,0.4,0,irrelevant_perturbation,stress_sweep,0.4,task_percent_complete_fallback,1.0,exact,39.29411437564827,75.6385031389022,,55.41379119262789,,,0.0,1.0,1.0,1139.5293561879143,1.0,1.0,0.0,1.0,0.0,29.0,9.0,9.0,0,532.3260633945465,,,2174.0,0.714974919517881,0.8452380952380952,0.3863095238095238,,1,0.7726190476190476,0.4,neighborhood_M=5_Pi=1,1.0,0.0,medoid,1,1,0.0,0.0008843221585266292,0.4,ge_capacity_validity,expq1,placement_only,0.4,0.0,0,
"agent0:Rearrange[sushi_mat, table_14]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",127,default,default,1136.0,,1.0,127,0,1.016219807161631,1.016219807161631,0,1.0,,1,1,0.6,0.21954631928476287,1.0,0.0,0,0,1,1.0,-0.4703610199633659,0.010521209998096914,0.21954631928476287,1.8822837208319596,4,0,1.4285714285714286,1.4285714285714286,1.444897088110031,2.0,1.010521209998097,0.4,1.0,Move the sushi mat from the kitchen counter to the living room table.,,0.4,0,irrelevant_perturbation,stress_sweep,1.0,task_percent_complete_fallback,1.0,exact,20.916474388885756,39.155745776238646,,31.827585109393617,,,0.0,1.0,1.0,606.5777781941614,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,132.2681131362915,,,1135.0,0.7042763234002314,0.75,0.19791666666666666,,1,0.3958333333333333,0.0,neighborhood_M=5_Pi=1,0.0,0.0,medoid,1,1,0.0,0.0001611296902410686,0.4,ge_capacity_validity,expq1,placement_only,1.0,1.0,0,
